V1,V2
Q09472,P03255-2
P03255-2,P42224
P03255-1,P42224
Q09472,P03255-1
Q09472,P03255-2
P06400,P03255-1
P03255-2,P42224
P03255-2,P06400
P03255-1,P42224
Q92831,P03255
P03255,Q92831
P03255,Q92831
Q92831,P03255-2
Q92831,P03255-2
P03255,Q15326
P29590-3,P04489
P29590-3,P04489
P29590-3,P04489
P29590-3,P04489
P17980,P03255-2
P03255-1,P62826
Q9H204,P03255
P62195,P03255-1
P03255-1,P06400
P03255-2,P62826
P62195,P03255-2
P03255-1,P17980
Q9H204,P03255
P03255-2,P06400
P17980,P03255-1
P03255,Q13200
P62195,P03255-1
P03255,P62333
P03255,P17980
Q6QCN0,Q6QCP3
Q6QCP3,Q71S15
Q6QCN0,Q6QCP0
Q71S15,Q6QCP0
Q6QCN7,Q6QCV8
Q6QCN7,Q6QCN2
Q6QCN7,Q6QCN0
Q6QCV8,Q6QCV8
Q6QCN0,Q6QCV8
Q6QCV8,Q6QCM8
Q6QCV8,Q6QCL7
Q6QCN0,Q6QCQ4
Q6QCM8,Q6QCN2
Q71S15,Q6QCN2
Q6QCN0,Q6QCN0
Q6QCN0,Q6QCL7
Q6QCM9,Q6QCM9
Q6QCL7,Q6QCM9
Q6QCN0,Q6QCM8
Q6QCM8,Q6QCM8
Q6QCU3,Q6QCM8
Q71S15,Q6QCM8
Q997N0,Q71S15
Q6QCQ3,Q6QCN0
Q6QCL0,Q6QCQ3
Q6QCQ3,Q71S15
Q6QCM5,Q6QCN0
Q6QCN0,Q6QCM3
Q6QCN7,Q6QCM2
Q6QCP3,Q6QCM2
Q6QCN0,Q6QCM2
Q6QCM8,Q6QCM2
Q71S15,Q6QCM2
Q77JF7,Q6QCM2
Q6QCU3,Q6QCU3
Q6QCN0,Q6QCL9
Q6QCL9,Q6QCL9
Q6QCL7,Q6QCM8
Q6QCL7,Q6QCQ2
Q6QCN7,Q6QCL4
Q6QCN0,Q6QCL4
Q6QCL4,Q71S15
Q6QCL2,Q6QCV8
Q6QCL2,Q6QCN0
Q6QCL2,Q6QCM8
Q71S15,Q6QCL2
Q77JF8,Q6QCL2
Q6QCL0,Q6QCM9
Q6QCL0,Q6QCL7
Q71S15,Q71S15
Q6QCN7,Q77JF8
Q77JF8,Q6QCN2
Q6QCN0,Q77JF8
Q6QCM8,Q77JF8
Q77JF8,Q71S15
Q9DWX8,Q6QCN2
Q9DWX8,Q6QCN0
Q9DWX8,Q6QCM8
Q9DWX8,Q71S15
Q6QCP9,Q6QCP9
P03255,Q92793
P10826-2,P03255
P10826-2,P03255
Q9Y463,P03255-2
Q9Y463,P03255
P03244,P04637
P06927,Q9Y6N5
P06927,Q01650
P06927,P04920
P06927,P08195
P06927,Q8NEW0
P06927,P11166
P06927,Q15758
P06927,Q8NBJ9
P06927,O95470
P06927,P07093
P06927,Q9NZV5
P06927,Q99442
P06927,P60468
P06927,P67812
P06927,Q15858
P06927,O00767
P06927,Q96FQ6
P06927,Q99584
P06927,Q9NQC3
P06927,P04844
P06927,P46778
P06927,P40429
P06927,Q96K19
P06927,O15258
P06927,Q00765
P06927,Q5HYI8
P06927,Q9UI14
P06927,Q9NP72
P06927,Q9NXS2
P06927,Q6NZI2
P06927,P18031
P06927,Q9P035
P06927,O60831
P06927,Q15165
P06927,Q8IV08
P06927,Q9H490
P06927,Q969N2
P06927,Q96S52
P06927,Q92508
P06927,Q99623
P06927,O15173
P06927,P30101
P06927,Q9NRP0
P06927,O00483
P06927,Q6PIU2
P06927,Q9NZJ7
P06927,Q96AM1
P06927,Q14165
P06927,O94851
P06927,Q96N66
P06927,Q15012
P06927,Q9C0E8
P06927,Q06136
P06927,P05556
P06927,Q70UQ0
P06927,P11717
P06927,P37059
P06927,Q8TCT9
P06927,O43292
P06927,Q9Y3E0
P06927,P17302
P06927,Q9UJ14
P06927,O60353
P06927,Q14332
P06927,Q9UBU6
P06927,Q96CS3
P06927,P25116
P06927,A0FGR8
P06927,O94905
P06927,O75477
P06927,Q96DZ1
P06927,Q969X5
P06927,P50402
P06927,Q9Y2G8
P06927,Q15392
P06927,P39656
P06927,P61803
P06927,Q6UVK1
P06927,P50416
P06927,P53621
P06927,O96005
P06927,Q96S66
P06927,P08172
P06927,O95674
P06927,Q5VV42
P06927,P16070
P06927,Q03135
P06927,P27824
